url,information,date_time
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-quinta-paredes-bogota/193472326,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 87.500.000 | $ 2.300.000 | $ 330.000.000 | $ 1.450.000.000 | $ 245.000.000 | $ 620.000.000 | $ 1.600.000.000 | $ 1.761.372', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-02 12:18:34.634118+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-la-calleja-bogota/193346705,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 87.500.000 | $ 2.300.000 | $ 330.000.000 | $ 1.450.000.000 | $ 245.000.000 | $ 620.000.000 | $ 1.600.000.000 | $ 1.761.372', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-02 12:18:34.730826+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-morato-bogota/193190693,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 87.500.000 | $ 2.300.000 | $ 330.000.000 | $ 1.450.000.000 | $ 245.000.000 | $ 620.000.000 | $ 1.600.000.000 | $ 1.761.372', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-02 12:18:35.053687+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-ciudad-salitre-bogota/193016355,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 87.500.000 | $ 2.300.000 | $ 330.000.000 | $ 1.450.000.000 | $ 245.000.000 | $ 620.000.000 | $ 1.600.000.000 | $ 1.761.372', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-02 12:18:35.071427+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/193502647,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 87.500.000 | $ 2.300.000 | $ 330.000.000 | $ 1.450.000.000 | $ 245.000.000 | $ 620.000.000 | $ 1.600.000.000 | $ 1.761.372', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-02 12:18:35.080779+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193459154,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 87.500.000 | $ 2.300.000 | $ 330.000.000 | $ 1.450.000.000 | $ 245.000.000 | $ 620.000.000 | $ 1.600.000.000 | $ 1.761.372', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-02 12:18:35.103913+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/193406127,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 87.500.000 | $ 2.300.000 | $ 330.000.000 | $ 1.450.000.000 | $ 245.000.000 | $ 620.000.000 | $ 1.600.000.000 | $ 1.761.372', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-02 12:18:35.214306+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193455498,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 87.500.000 | $ 2.300.000 | $ 330.000.000 | $ 1.450.000.000 | $ 245.000.000 | $ 620.000.000 | $ 1.600.000.000 | $ 1.761.372', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-02 12:18:35.363546+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-la-castellana-bogota/193098470,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 87.500.000 | $ 2.300.000 | $ 330.000.000 | $ 1.450.000.000 | $ 245.000.000 | $ 620.000.000 | $ 1.600.000.000 | $ 1.761.372', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-02 12:18:35.398650+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-macarena-bogota/192827261,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 87.500.000 | $ 2.300.000 | $ 330.000.000 | $ 1.450.000.000 | $ 245.000.000 | $ 620.000.000 | $ 1.600.000.000 | $ 1.761.372', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-02 12:18:35.442009+00:00
