url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193440186,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.800.000 | $ 3.400.000.000 | $ 1.678.000 | $ 420.000.000 | $ 260.000.000 | $ 1.300.000 | $ 16.000.000 | $ 20.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-27 18:10:58.294791+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-el-nogal-bogota/192567194,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.800.000 | $ 3.400.000.000 | $ 1.678.000 | $ 420.000.000 | $ 260.000.000 | $ 1.300.000 | $ 16.000.000 | $ 20.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-27 18:10:58.359678+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193149472,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.800.000 | $ 3.400.000.000 | $ 1.678.000 | $ 420.000.000 | $ 260.000.000 | $ 1.300.000 | $ 16.000.000 | $ 20.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-27 18:10:58.449005+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-centro-industrial-bogota/193427059,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.800.000 | $ 3.400.000.000 | $ 1.678.000 | $ 420.000.000 | $ 260.000.000 | $ 1.300.000 | $ 16.000.000 | $ 20.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-27 18:10:58.576654+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-florida-blanca-bogota/193437464,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.800.000 | $ 3.400.000.000 | $ 1.678.000 | $ 420.000.000 | $ 260.000.000 | $ 1.300.000 | $ 16.000.000 | $ 20.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-27 18:10:58.587249+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.800.000 | $ 3.400.000.000 | $ 1.678.000 | $ 420.000.000 | $ 260.000.000 | $ 1.300.000 | $ 16.000.000 | $ 20.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-27 18:10:58.629424+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/193397320,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.800.000 | $ 3.400.000.000 | $ 1.678.000 | $ 420.000.000 | $ 260.000.000 | $ 1.300.000 | $ 16.000.000 | $ 20.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-27 18:10:58.661696+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.800.000 | $ 3.400.000.000 | $ 1.678.000 | $ 420.000.000 | $ 260.000.000 | $ 1.300.000 | $ 16.000.000 | $ 20.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-27 18:10:58.981882+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-unicentro-bogota-bogota/192716572,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.800.000 | $ 3.400.000.000 | $ 1.678.000 | $ 420.000.000 | $ 260.000.000 | $ 1.300.000 | $ 16.000.000 | $ 20.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-27 18:10:59.208964+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-montevideo-bogota/193320151,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.800.000 | $ 3.400.000.000 | $ 1.678.000 | $ 420.000.000 | $ 260.000.000 | $ 1.300.000 | $ 16.000.000 | $ 20.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-27 18:10:59.233608+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-gran-america-bogota/193402818,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.800.000 | $ 3.400.000.000 | $ 1.678.000 | $ 420.000.000 | $ 260.000.000 | $ 1.300.000 | $ 16.000.000 | $ 20.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-27 18:10:59.263390+00:00
