url,information,date_time
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/193638884,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 10.000.000 | $ 235.000.000 | $ 414.000.000 | $ 750.000.000 | $ 503.140.000 | $ 700.000 | $ 503.140.000 | $ 524.598.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-21 02:07:53.825837+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-alcala-bogota/193862778,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 10.000.000 | $ 235.000.000 | $ 414.000.000 | $ 750.000.000 | $ 503.140.000 | $ 700.000 | $ 503.140.000 | $ 524.598.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-21 02:07:53.855635+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bella-suiza-bogota/193758796,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 10.000.000 | $ 235.000.000 | $ 414.000.000 | $ 750.000.000 | $ 503.140.000 | $ 700.000 | $ 503.140.000 | $ 524.598.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-21 02:07:53.945177+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-fontibon-bogota/193815880,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 10.000.000 | $ 235.000.000 | $ 414.000.000 | $ 750.000.000 | $ 503.140.000 | $ 700.000 | $ 503.140.000 | $ 524.598.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-21 02:07:53.980480+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-macarena-bogota/193969794,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 10.000.000 | $ 235.000.000 | $ 414.000.000 | $ 750.000.000 | $ 503.140.000 | $ 700.000 | $ 503.140.000 | $ 524.598.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-21 02:07:54.517258+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-teusaquillo-bogota/193148336,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 10.000.000 | $ 235.000.000 | $ 414.000.000 | $ 750.000.000 | $ 503.140.000 | $ 700.000 | $ 503.140.000 | $ 524.598.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-21 02:07:54.601723+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-bosque-de-maria-bogota/193870890,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 10.000.000 | $ 235.000.000 | $ 414.000.000 | $ 750.000.000 | $ 503.140.000 | $ 700.000 | $ 503.140.000 | $ 524.598.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-21 02:07:54.612704+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedro-golf-bogota/193831347,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 10.000.000 | $ 235.000.000 | $ 414.000.000 | $ 750.000.000 | $ 503.140.000 | $ 700.000 | $ 503.140.000 | $ 524.598.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-21 02:07:54.721481+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-niza-bogota/193277613,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 10.000.000 | $ 235.000.000 | $ 414.000.000 | $ 750.000.000 | $ 503.140.000 | $ 700.000 | $ 503.140.000 | $ 524.598.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-21 02:07:54.733797+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-salle-bogota/193834851,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 10.000.000 | $ 235.000.000 | $ 414.000.000 | $ 750.000.000 | $ 503.140.000 | $ 700.000 | $ 503.140.000 | $ 524.598.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-21 02:07:54.846906+00:00
