url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-consuelo-bogota/193129766,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 425.000.000 | $ 250.000.000 | $ 950.000 | $ 1.300.000.000 | $ 155.000.000 | $ 790.000.000 | $ 1.400.000 | $ 1.600.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 18:07:18.007346+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-nieves-bogota/193112027,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 425.000.000 | $ 250.000.000 | $ 950.000 | $ 1.300.000.000 | $ 155.000.000 | $ 790.000.000 | $ 1.400.000 | $ 1.600.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 18:07:18.028965+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-macarena-bogota/192827261,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 425.000.000 | $ 250.000.000 | $ 950.000 | $ 1.300.000.000 | $ 155.000.000 | $ 790.000.000 | $ 1.400.000 | $ 1.600.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 18:07:18.035733+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-santa-barbara-central-bogota/193396773,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 425.000.000 | $ 250.000.000 | $ 950.000 | $ 1.300.000.000 | $ 155.000.000 | $ 790.000.000 | $ 1.400.000 | $ 1.600.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 18:07:18.157301+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-central-bogota/192745092,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 425.000.000 | $ 250.000.000 | $ 950.000 | $ 1.300.000.000 | $ 155.000.000 | $ 790.000.000 | $ 1.400.000 | $ 1.600.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 18:07:18.451096+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10308129,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 425.000.000 | $ 250.000.000 | $ 950.000 | $ 1.300.000.000 | $ 155.000.000 | $ 790.000.000 | $ 1.400.000 | $ 1.600.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 18:07:18.461050+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-teresa-bogota/193173849,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 425.000.000 | $ 250.000.000 | $ 950.000 | $ 1.300.000.000 | $ 155.000.000 | $ 790.000.000 | $ 1.400.000 | $ 1.600.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 18:07:18.641720+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-acacias-bogota/193207802,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 425.000.000 | $ 250.000.000 | $ 950.000 | $ 1.300.000.000 | $ 155.000.000 | $ 790.000.000 | $ 1.400.000 | $ 1.600.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 18:07:18.670284+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/193365716,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 425.000.000 | $ 250.000.000 | $ 950.000 | $ 1.300.000.000 | $ 155.000.000 | $ 790.000.000 | $ 1.400.000 | $ 1.600.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 18:07:18.684492+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192831967,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 425.000.000 | $ 250.000.000 | $ 950.000 | $ 1.300.000.000 | $ 155.000.000 | $ 790.000.000 | $ 1.400.000 | $ 1.600.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 18:07:18.695574+00:00
