url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/192206859,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:07:58.885046+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-engativa-bogota/193179518,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:07:58.891987+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-lujan-bogota/193081709,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:07:59.085167+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/192920547,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:07:59.117269+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chico-norte-bogota/192089858,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:07:59.556994+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-chico-norte-bogota/192980978,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:07:59.668320+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota-dc-bogota/193249470,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:07:59.684444+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192594237,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:07:59.693815+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-tierra-buena-bogota/193230441,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:07:59.705065+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-castilla-bogota/193086938,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:07:59.717151+00:00
