url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193699189,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:54.605585+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193576476,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:54.699745+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-morato-bogota/193190693,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:54.829153+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-macarena-bogota/192827261,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:54.938234+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-puente-largo-bogota/193760905,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:55.333081+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chico-norte-bogota/193390131,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:55.396741+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-bogota/193736856,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:55.486644+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-paula-bogota/193442339,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:55.550872+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-navarra-bogota/193606209,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:55.602695+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193482149,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:55.742737+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191801473,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:55.767341+00:00
