url,information,date_time
https://www.fincaraiz.com.co//edificio-en-arriendo-en-chico-norte-bogota/192980978,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 600.000.000 | $ 330.000.000 | $ 1.900.000 | $ 3.000.000 | $ 1.600.000 | $ 3.200.000 | $ 247.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 12:20:04.201567+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193336407,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 600.000.000 | $ 330.000.000 | $ 1.900.000 | $ 3.000.000 | $ 1.600.000 | $ 3.200.000 | $ 247.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 12:20:04.220722+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-el-batan-bogota/193547442,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 600.000.000 | $ 330.000.000 | $ 1.900.000 | $ 3.000.000 | $ 1.600.000 | $ 3.200.000 | $ 247.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 12:20:04.277989+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-cedritos-bogota/193462191,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 600.000.000 | $ 330.000.000 | $ 1.900.000 | $ 3.000.000 | $ 1.600.000 | $ 3.200.000 | $ 247.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 12:20:04.444106+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/193542241,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 600.000.000 | $ 330.000.000 | $ 1.900.000 | $ 3.000.000 | $ 1.600.000 | $ 3.200.000 | $ 247.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 12:20:04.942087+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-olaya-bogota/193317390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 600.000.000 | $ 330.000.000 | $ 1.900.000 | $ 3.000.000 | $ 1.600.000 | $ 3.200.000 | $ 247.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 12:20:04.950948+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-alto-bogota/193353090,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 600.000.000 | $ 330.000.000 | $ 1.900.000 | $ 3.000.000 | $ 1.600.000 | $ 3.200.000 | $ 247.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 12:20:04.979147+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193615204,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 600.000.000 | $ 330.000.000 | $ 1.900.000 | $ 3.000.000 | $ 1.600.000 | $ 3.200.000 | $ 247.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 12:20:05.001105+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-puente-aranda-bogota/193506520,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 600.000.000 | $ 330.000.000 | $ 1.900.000 | $ 3.000.000 | $ 1.600.000 | $ 3.200.000 | $ 247.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 12:20:05.015001+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-lucia-bogota/193533609,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 600.000.000 | $ 330.000.000 | $ 1.900.000 | $ 3.000.000 | $ 1.600.000 | $ 3.200.000 | $ 247.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 12:20:05.036065+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-zona-franca-bogota/193070184,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 600.000.000 | $ 330.000.000 | $ 1.900.000 | $ 3.000.000 | $ 1.600.000 | $ 3.200.000 | $ 247.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 12:20:05.042620+00:00
