url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-carolina-bogota/193502839,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 2.000.000 | $ 2.600.000 | $ 230.000.000 | $ 996.000 | $ 6.450.000 | $ 1.050.000 | $ 649.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-27 07:26:30.907436+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193645077,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 2.000.000 | $ 2.600.000 | $ 230.000.000 | $ 996.000 | $ 6.450.000 | $ 1.050.000 | $ 649.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-27 07:26:30.925286+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-paula-bogota/193691650,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 2.000.000 | $ 2.600.000 | $ 230.000.000 | $ 996.000 | $ 6.450.000 | $ 1.050.000 | $ 649.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-27 07:26:30.966993+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-soledad-bogota/193717298,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 2.000.000 | $ 2.600.000 | $ 230.000.000 | $ 996.000 | $ 6.450.000 | $ 1.050.000 | $ 649.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-27 07:26:31.185943+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193413670,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 2.000.000 | $ 2.600.000 | $ 230.000.000 | $ 996.000 | $ 6.450.000 | $ 1.050.000 | $ 649.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-27 07:26:31.561214+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-macarena-bogota/192827261,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 2.000.000 | $ 2.600.000 | $ 230.000.000 | $ 996.000 | $ 6.450.000 | $ 1.050.000 | $ 649.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-27 07:26:31.568570+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-ana-bogota/193683957,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 2.000.000 | $ 2.600.000 | $ 230.000.000 | $ 996.000 | $ 6.450.000 | $ 1.050.000 | $ 649.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-27 07:26:31.678981+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-paula-bogota/193442339,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 2.000.000 | $ 2.600.000 | $ 230.000.000 | $ 996.000 | $ 6.450.000 | $ 1.050.000 | $ 649.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-27 07:26:31.777913+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-barrios-unidos-bogota/193165852,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 2.000.000 | $ 2.600.000 | $ 230.000.000 | $ 996.000 | $ 6.450.000 | $ 1.050.000 | $ 649.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-27 07:26:31.949733+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-esmeralda-bogota/193468903,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 2.000.000 | $ 2.600.000 | $ 230.000.000 | $ 996.000 | $ 6.450.000 | $ 1.050.000 | $ 649.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-27 07:26:31.956337+00:00
