url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-villa-alsacia-2-bogota/193364947,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.550.000.000 | $ 3.500.000 | $ 3.880.000 | $ 1.600.000.000 | $ 950.000.000 | $ 5.550.000 | $ 1.650.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 12:27:31.033743+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chico-norte-bogota/193390131,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.550.000.000 | $ 3.500.000 | $ 3.880.000 | $ 1.600.000.000 | $ 950.000.000 | $ 5.550.000 | $ 1.650.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 12:27:31.575837+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-victoria-norte-bogota/193825520,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.550.000.000 | $ 3.500.000 | $ 3.880.000 | $ 1.600.000.000 | $ 950.000.000 | $ 5.550.000 | $ 1.650.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 12:27:31.583096+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193566665,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.550.000.000 | $ 3.500.000 | $ 3.880.000 | $ 1.600.000.000 | $ 950.000.000 | $ 5.550.000 | $ 1.650.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 12:27:31.607738+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nueva-castilla-bogota/193526525,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.550.000.000 | $ 3.500.000 | $ 3.880.000 | $ 1.600.000.000 | $ 950.000.000 | $ 5.550.000 | $ 1.650.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 12:27:31.730298+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-la-candelaria-bogota/192750094,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.550.000.000 | $ 3.500.000 | $ 3.880.000 | $ 1.600.000.000 | $ 950.000.000 | $ 5.550.000 | $ 1.650.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 12:27:31.742891+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-centro-internacional-bogota/193462547,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.550.000.000 | $ 3.500.000 | $ 3.880.000 | $ 1.600.000.000 | $ 950.000.000 | $ 5.550.000 | $ 1.650.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 12:27:31.752545+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193566665,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.550.000.000 | $ 3.500.000 | $ 3.880.000 | $ 1.600.000.000 | $ 950.000.000 | $ 5.550.000 | $ 1.650.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 12:27:31.761383+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nueva-castilla-bogota/193526525,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.550.000.000 | $ 3.500.000 | $ 3.880.000 | $ 1.600.000.000 | $ 950.000.000 | $ 5.550.000 | $ 1.650.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 12:27:31.768199+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193736848,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.550.000.000 | $ 3.500.000 | $ 3.880.000 | $ 1.600.000.000 | $ 950.000.000 | $ 5.550.000 | $ 1.650.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 12:27:31.805610+00:00
