url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-jose-de-usaquen-bogota/193765426,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 350.000.000 | $ 2.500.000 | $ 870.000.000 | $ 1.100.000.000 | $ 1.250.000 | $ 1.550.000.000 | $ 8.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-01 00:43:40.744265+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bosa-san-bernardino-bogota/193735148,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 350.000.000 | $ 2.500.000 | $ 870.000.000 | $ 1.100.000.000 | $ 1.250.000 | $ 1.550.000.000 | $ 8.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-01 00:43:40.782161+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193414627,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 350.000.000 | $ 2.500.000 | $ 870.000.000 | $ 1.100.000.000 | $ 1.250.000 | $ 1.550.000.000 | $ 8.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-01 00:43:40.965282+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-bogota/192927100,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 350.000.000 | $ 2.500.000 | $ 870.000.000 | $ 1.100.000.000 | $ 1.250.000 | $ 1.550.000.000 | $ 8.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-01 00:43:40.973054+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-barrios-unidos-bogota/193632538,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 350.000.000 | $ 2.500.000 | $ 870.000.000 | $ 1.100.000.000 | $ 1.250.000 | $ 1.550.000.000 | $ 8.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-01 00:43:41.473314+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193097402,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 350.000.000 | $ 2.500.000 | $ 870.000.000 | $ 1.100.000.000 | $ 1.250.000 | $ 1.550.000.000 | $ 8.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-01 00:43:41.495319+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193047687,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 350.000.000 | $ 2.500.000 | $ 870.000.000 | $ 1.100.000.000 | $ 1.250.000 | $ 1.550.000.000 | $ 8.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-01 00:43:41.504969+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-zona-centro-bogota/191054340,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 350.000.000 | $ 2.500.000 | $ 870.000.000 | $ 1.100.000.000 | $ 1.250.000 | $ 1.550.000.000 | $ 8.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-01 00:43:41.511503+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-niza-bogota/193277613,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 350.000.000 | $ 2.500.000 | $ 870.000.000 | $ 1.100.000.000 | $ 1.250.000 | $ 1.550.000.000 | $ 8.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-01 00:43:41.518574+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-paula-bogota/193711450,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 350.000.000 | $ 2.500.000 | $ 870.000.000 | $ 1.100.000.000 | $ 1.250.000 | $ 1.550.000.000 | $ 8.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-01 00:43:41.525462+00:00
