url,information,date_time
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-central-bogota/193141540,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 265.000.000 | $ 460.000.000 | $ 570.000.000 | $ 1.800.000 | $ 1.400.000 | $ 280.000.000 | $ 1.470.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-22 00:20:58.365818+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-san-fernando-occidental-bogota/193165852,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 265.000.000 | $ 460.000.000 | $ 570.000.000 | $ 1.800.000 | $ 1.400.000 | $ 280.000.000 | $ 1.470.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-22 00:20:58.373158+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/192750095,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 265.000.000 | $ 460.000.000 | $ 570.000.000 | $ 1.800.000 | $ 1.400.000 | $ 280.000.000 | $ 1.470.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-22 00:20:58.396971+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-macarena-bogota/192827261,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 265.000.000 | $ 460.000.000 | $ 570.000.000 | $ 1.800.000 | $ 1.400.000 | $ 280.000.000 | $ 1.470.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-22 00:20:58.522176+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-bogota/193345853,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 265.000.000 | $ 460.000.000 | $ 570.000.000 | $ 1.800.000 | $ 1.400.000 | $ 280.000.000 | $ 1.470.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-22 00:20:59.010231+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chico-norte-bogota/193485149,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 265.000.000 | $ 460.000.000 | $ 570.000.000 | $ 1.800.000 | $ 1.400.000 | $ 280.000.000 | $ 1.470.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-22 00:20:59.066656+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193063091,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 265.000.000 | $ 460.000.000 | $ 570.000.000 | $ 1.800.000 | $ 1.400.000 | $ 280.000.000 | $ 1.470.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-22 00:20:59.079553+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-olaya-bogota/7092019,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 265.000.000 | $ 460.000.000 | $ 570.000.000 | $ 1.800.000 | $ 1.400.000 | $ 280.000.000 | $ 1.470.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-22 00:20:59.091313+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-paredes-bogota/193291243,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 265.000.000 | $ 460.000.000 | $ 570.000.000 | $ 1.800.000 | $ 1.400.000 | $ 280.000.000 | $ 1.470.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-22 00:20:59.104891+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-pinar-de-suba-bogota/193463557,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 265.000.000 | $ 460.000.000 | $ 570.000.000 | $ 1.800.000 | $ 1.400.000 | $ 280.000.000 | $ 1.470.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-22 00:20:59.114674+00:00
