url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-las-brisas-bogota/193671720,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.200.000 | $ 549.000.000 | $ 230.000.000 | $ 2.500.000 | $ 900.000.000 | $ 1.100.000 | $ 15.000.000 | $ 1.059.281.273', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 18:46:39.500842+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193699189,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.200.000 | $ 549.000.000 | $ 230.000.000 | $ 2.500.000 | $ 900.000.000 | $ 1.100.000 | $ 15.000.000 | $ 1.059.281.273', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 18:46:39.531313+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-ana-oriental-bogota/192275705,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.200.000 | $ 549.000.000 | $ 230.000.000 | $ 2.500.000 | $ 900.000.000 | $ 1.100.000 | $ 15.000.000 | $ 1.059.281.273', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 18:46:39.568648+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chico-norte-bogota/193390131,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.200.000 | $ 549.000.000 | $ 230.000.000 | $ 2.500.000 | $ 900.000.000 | $ 1.100.000 | $ 15.000.000 | $ 1.059.281.273', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 18:46:39.621101+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-cantalejo-bogota/193700185,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.200.000 | $ 549.000.000 | $ 230.000.000 | $ 2.500.000 | $ 900.000.000 | $ 1.100.000 | $ 15.000.000 | $ 1.059.281.273', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 18:46:40.168603+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-cantalejo-bogota/193700185,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.200.000 | $ 549.000.000 | $ 230.000.000 | $ 2.500.000 | $ 900.000.000 | $ 1.100.000 | $ 15.000.000 | $ 1.059.281.273', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 18:46:40.176125+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-sotileza-bogota/193568828,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.200.000 | $ 549.000.000 | $ 230.000.000 | $ 2.500.000 | $ 900.000.000 | $ 1.100.000 | $ 15.000.000 | $ 1.059.281.273', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 18:46:40.221782+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/193838238,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.200.000 | $ 549.000.000 | $ 230.000.000 | $ 2.500.000 | $ 900.000.000 | $ 1.100.000 | $ 15.000.000 | $ 1.059.281.273', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 18:46:40.502961+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-tintal-bogota/193830315,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.200.000 | $ 549.000.000 | $ 230.000.000 | $ 2.500.000 | $ 900.000.000 | $ 1.100.000 | $ 15.000.000 | $ 1.059.281.273', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 18:46:40.529549+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193632149,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.200.000 | $ 549.000.000 | $ 230.000.000 | $ 2.500.000 | $ 900.000.000 | $ 1.100.000 | $ 15.000.000 | $ 1.059.281.273', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 18:46:40.547417+00:00
