url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/192750152,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.750.000 | $ 1.200.000 | $ 40.000.000 | $ 4.000.000.000 | $ 2.000.000 | $ 5.400.000 | $ 280.000.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 00:38:50.234207+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-antiguo-country-bogota/193828807,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.750.000 | $ 1.200.000 | $ 40.000.000 | $ 4.000.000.000 | $ 2.000.000 | $ 5.400.000 | $ 280.000.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 00:38:50.317006+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-cedritos-bogota/193544349,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.750.000 | $ 1.200.000 | $ 40.000.000 | $ 4.000.000.000 | $ 2.000.000 | $ 5.400.000 | $ 280.000.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 00:38:50.344619+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-central-bogota/193825089,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.750.000 | $ 1.200.000 | $ 40.000.000 | $ 4.000.000.000 | $ 2.000.000 | $ 5.400.000 | $ 280.000.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 00:38:50.496071+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedro-golf-bogota/193372709,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.750.000 | $ 1.200.000 | $ 40.000.000 | $ 4.000.000.000 | $ 2.000.000 | $ 5.400.000 | $ 280.000.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 00:38:51.026476+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-la-macarena-bogota/192657270,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.750.000 | $ 1.200.000 | $ 40.000.000 | $ 4.000.000.000 | $ 2.000.000 | $ 5.400.000 | $ 280.000.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 00:38:51.085462+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/193679848,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.750.000 | $ 1.200.000 | $ 40.000.000 | $ 4.000.000.000 | $ 2.000.000 | $ 5.400.000 | $ 280.000.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 00:38:51.231556+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-santa-barbara-bogota/193446713,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.750.000 | $ 1.200.000 | $ 40.000.000 | $ 4.000.000.000 | $ 2.000.000 | $ 5.400.000 | $ 280.000.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 00:38:51.241691+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-santa-barbara-bogota/193446713,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.750.000 | $ 1.200.000 | $ 40.000.000 | $ 4.000.000.000 | $ 2.000.000 | $ 5.400.000 | $ 280.000.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 00:38:51.248430+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedro-golf-bogota/193812073,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.750.000 | $ 1.200.000 | $ 40.000.000 | $ 4.000.000.000 | $ 2.000.000 | $ 5.400.000 | $ 280.000.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 00:38:51.306902+00:00
