url,information,date_time
https://www.fincaraiz.com.co//edificio-en-arriendo-en-santa-ana-oriental-bogota/193555567,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.100.000 | $ 170.000.000 | $ 3.000.000.000 | $ 2.550.000 | $ 445.000.000 | $ 1.300.000 | $ 750.000 | $ 980.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-08 13:27:36.167745+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193847304,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.100.000 | $ 170.000.000 | $ 3.000.000.000 | $ 2.550.000 | $ 445.000.000 | $ 1.300.000 | $ 750.000 | $ 980.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-08 13:27:36.238332+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193771633,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.100.000 | $ 170.000.000 | $ 3.000.000.000 | $ 2.550.000 | $ 445.000.000 | $ 1.300.000 | $ 750.000 | $ 980.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-08 13:27:36.291037+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-quinta-camacho-bogota/192114307,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.100.000 | $ 170.000.000 | $ 3.000.000.000 | $ 2.550.000 | $ 445.000.000 | $ 1.300.000 | $ 750.000 | $ 980.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-08 13:27:37.003298+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-la-soledad-bogota/193584080,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.100.000 | $ 170.000.000 | $ 3.000.000.000 | $ 2.550.000 | $ 445.000.000 | $ 1.300.000 | $ 750.000 | $ 980.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-08 13:27:37.048841+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-bogota/193736856,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.100.000 | $ 170.000.000 | $ 3.000.000.000 | $ 2.550.000 | $ 445.000.000 | $ 1.300.000 | $ 750.000 | $ 980.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-08 13:27:37.072807+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-bogota/193736856,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.100.000 | $ 170.000.000 | $ 3.000.000.000 | $ 2.550.000 | $ 445.000.000 | $ 1.300.000 | $ 750.000 | $ 980.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-08 13:27:37.084264+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-la-candelaria-bogota/192750094,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.100.000 | $ 170.000.000 | $ 3.000.000.000 | $ 2.550.000 | $ 445.000.000 | $ 1.300.000 | $ 750.000 | $ 980.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-08 13:27:37.161454+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-barrios-unidos-bogota/193632538,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.100.000 | $ 170.000.000 | $ 3.000.000.000 | $ 2.550.000 | $ 445.000.000 | $ 1.300.000 | $ 750.000 | $ 980.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-08 13:27:37.369889+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-gran-granada-bogota/193831044,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.100.000 | $ 170.000.000 | $ 3.000.000.000 | $ 2.550.000 | $ 445.000.000 | $ 1.300.000 | $ 750.000 | $ 980.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-08 13:27:37.399885+00:00
