url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-paula-bogota/193442339,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 6.800.000 | $ 315.000.000 | $ 4.700.000 | $ 850.000.000 | $ 5.500.000 | $ 770.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 07:29:04.416010+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-villas-de-alcala-bogota/193426007,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 6.800.000 | $ 315.000.000 | $ 4.700.000 | $ 850.000.000 | $ 5.500.000 | $ 770.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 07:29:04.539714+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-belalcazar-bogota/5619173,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 6.800.000 | $ 315.000.000 | $ 4.700.000 | $ 850.000.000 | $ 5.500.000 | $ 770.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 07:29:04.723213+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193413670,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 6.800.000 | $ 315.000.000 | $ 4.700.000 | $ 850.000.000 | $ 5.500.000 | $ 770.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 07:29:04.735846+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-navarra-bogota/193606209,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 6.800.000 | $ 315.000.000 | $ 4.700.000 | $ 850.000.000 | $ 5.500.000 | $ 770.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 07:29:04.757512+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-centro-internacional-bogota/193622088,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 6.800.000 | $ 315.000.000 | $ 4.700.000 | $ 850.000.000 | $ 5.500.000 | $ 770.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 07:29:04.791699+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193699189,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 6.800.000 | $ 315.000.000 | $ 4.700.000 | $ 850.000.000 | $ 5.500.000 | $ 770.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 07:29:04.811825+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-paula-bogota/193691650,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 6.800.000 | $ 315.000.000 | $ 4.700.000 | $ 850.000.000 | $ 5.500.000 | $ 770.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 07:29:04.956270+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/191878773,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 6.800.000 | $ 315.000.000 | $ 4.700.000 | $ 850.000.000 | $ 5.500.000 | $ 770.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 07:29:05.507205+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-carolina-bogota/193770373,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 6.800.000 | $ 315.000.000 | $ 4.700.000 | $ 850.000.000 | $ 5.500.000 | $ 770.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 07:29:05.676530+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-santa-ana-oriental-bogota/193555567,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 6.800.000 | $ 315.000.000 | $ 4.700.000 | $ 850.000.000 | $ 5.500.000 | $ 770.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 07:29:05.684084+00:00
