url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193408741,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.200.000 | $ 1.800.000 | $ 5.000.000 | $ 1.950.000 | $ 213.000.000 | $ 300.000.000 | $ 6.000.000 | $ 165.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 18:25:25.012125+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-teresa-bogota/193173849,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.200.000 | $ 1.800.000 | $ 5.000.000 | $ 1.950.000 | $ 213.000.000 | $ 300.000.000 | $ 6.000.000 | $ 165.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 18:25:25.084276+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chico-reservado-bogota/192291972,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.200.000 | $ 1.800.000 | $ 5.000.000 | $ 1.950.000 | $ 213.000.000 | $ 300.000.000 | $ 6.000.000 | $ 165.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 18:25:25.106988+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-olaya-bogota/10510376,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.200.000 | $ 1.800.000 | $ 5.000.000 | $ 1.950.000 | $ 213.000.000 | $ 300.000.000 | $ 6.000.000 | $ 165.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 18:25:25.222145+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-camacho-bogota/192750262,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.200.000 | $ 1.800.000 | $ 5.000.000 | $ 1.950.000 | $ 213.000.000 | $ 300.000.000 | $ 6.000.000 | $ 165.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 18:25:25.275553+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-nieves-bogota/193112027,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.200.000 | $ 1.800.000 | $ 5.000.000 | $ 1.950.000 | $ 213.000.000 | $ 300.000.000 | $ 6.000.000 | $ 165.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 18:25:25.477582+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193381807,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.200.000 | $ 1.800.000 | $ 5.000.000 | $ 1.950.000 | $ 213.000.000 | $ 300.000.000 | $ 6.000.000 | $ 165.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 18:25:25.558542+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-quinta-paredes-bogota/193284604,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.200.000 | $ 1.800.000 | $ 5.000.000 | $ 1.950.000 | $ 213.000.000 | $ 300.000.000 | $ 6.000.000 | $ 165.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 18:25:26.307404+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-iberia-bogota/192563302,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.200.000 | $ 1.800.000 | $ 5.000.000 | $ 1.950.000 | $ 213.000.000 | $ 300.000.000 | $ 6.000.000 | $ 165.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 18:25:26.481703+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/193264291,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.200.000 | $ 1.800.000 | $ 5.000.000 | $ 1.950.000 | $ 213.000.000 | $ 300.000.000 | $ 6.000.000 | $ 165.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 18:25:26.591830+00:00
