url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10308129,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 215.000.000 | $ 210.000.000 | $ 1.200.000 | $ 850.000.000 | $ 970.000.000 | $ 2.800.000 | $ 52.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-05 00:43:11.611551+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-pasadena-bogota/193736900,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 215.000.000 | $ 210.000.000 | $ 1.200.000 | $ 850.000.000 | $ 970.000.000 | $ 2.800.000 | $ 52.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-05 00:43:11.622307+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/193470079,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 215.000.000 | $ 210.000.000 | $ 1.200.000 | $ 850.000.000 | $ 970.000.000 | $ 2.800.000 | $ 52.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-05 00:43:11.735189+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-toberin-bogota/193799909,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 215.000.000 | $ 210.000.000 | $ 1.200.000 | $ 850.000.000 | $ 970.000.000 | $ 2.800.000 | $ 52.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-05 00:43:11.788635+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193486658,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 215.000.000 | $ 210.000.000 | $ 1.200.000 | $ 850.000.000 | $ 970.000.000 | $ 2.800.000 | $ 52.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-05 00:43:11.817561+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-batan-bogota/193481563,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 215.000.000 | $ 210.000.000 | $ 1.200.000 | $ 850.000.000 | $ 970.000.000 | $ 2.800.000 | $ 52.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-05 00:43:11.825887+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chico-norte-bogota/193390131,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 215.000.000 | $ 210.000.000 | $ 1.200.000 | $ 850.000.000 | $ 970.000.000 | $ 2.800.000 | $ 52.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-05 00:43:11.832282+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-tintal-bogota/193830315,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 215.000.000 | $ 210.000.000 | $ 1.200.000 | $ 850.000.000 | $ 970.000.000 | $ 2.800.000 | $ 52.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-05 00:43:11.844750+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193736848,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 215.000.000 | $ 210.000.000 | $ 1.200.000 | $ 850.000.000 | $ 970.000.000 | $ 2.800.000 | $ 52.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-05 00:43:11.909614+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-aeropuerto-el-dorado-bogota/192803824,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 215.000.000 | $ 210.000.000 | $ 1.200.000 | $ 850.000.000 | $ 970.000.000 | $ 2.800.000 | $ 52.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-05 00:43:12.202474+00:00
