url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193460052,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 840.000.000 | $ 1.000.000 | $ 370.000.000 | $ 1.600.000 | $ 469.000.000 | $ 1.500.000 | $ 1.800.000.000 | $ 5.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 00:21:07.813354+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 840.000.000 | $ 1.000.000 | $ 370.000.000 | $ 1.600.000 | $ 469.000.000 | $ 1.500.000 | $ 1.800.000.000 | $ 5.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 00:21:07.820927+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193475320,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 840.000.000 | $ 1.000.000 | $ 370.000.000 | $ 1.600.000 | $ 469.000.000 | $ 1.500.000 | $ 1.800.000.000 | $ 5.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 00:21:07.852880+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-reservado-bogota/193397415,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 840.000.000 | $ 1.000.000 | $ 370.000.000 | $ 1.600.000 | $ 469.000.000 | $ 1.500.000 | $ 1.800.000.000 | $ 5.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 00:21:07.903547+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/193447024,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 840.000.000 | $ 1.000.000 | $ 370.000.000 | $ 1.600.000 | $ 469.000.000 | $ 1.500.000 | $ 1.800.000.000 | $ 5.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 00:21:07.913041+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 840.000.000 | $ 1.000.000 | $ 370.000.000 | $ 1.600.000 | $ 469.000.000 | $ 1.500.000 | $ 1.800.000.000 | $ 5.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 00:21:08.021871+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-sucre-bogota/192750211,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 840.000.000 | $ 1.000.000 | $ 370.000.000 | $ 1.600.000 | $ 469.000.000 | $ 1.500.000 | $ 1.800.000.000 | $ 5.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 00:21:08.783763+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10924799,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 840.000.000 | $ 1.000.000 | $ 370.000.000 | $ 1.600.000 | $ 469.000.000 | $ 1.500.000 | $ 1.800.000.000 | $ 5.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 00:21:09.039113+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-marsella-bogota/193041039,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 840.000.000 | $ 1.000.000 | $ 370.000.000 | $ 1.600.000 | $ 469.000.000 | $ 1.500.000 | $ 1.800.000.000 | $ 5.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 00:21:09.059565+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-navarra-bogota/193486845,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 840.000.000 | $ 1.000.000 | $ 370.000.000 | $ 1.600.000 | $ 469.000.000 | $ 1.500.000 | $ 1.800.000.000 | $ 5.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 00:21:09.093947+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193457006,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 840.000.000 | $ 1.000.000 | $ 370.000.000 | $ 1.600.000 | $ 469.000.000 | $ 1.500.000 | $ 1.800.000.000 | $ 5.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 00:21:09.181652+00:00
