url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-central-bogota/192750067,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 120.000.000 | $ 590.000 | $ 550.000.000 | $ 1.900.000 | $ 330.000.000 | $ 1.050.000 | $ 2.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-30 00:33:46.608998+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-castilla-bogota/193583320,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 120.000.000 | $ 590.000 | $ 550.000.000 | $ 1.900.000 | $ 330.000.000 | $ 1.050.000 | $ 2.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-30 00:33:46.615832+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-ana-bogota/193683957,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 120.000.000 | $ 590.000 | $ 550.000.000 | $ 1.900.000 | $ 330.000.000 | $ 1.050.000 | $ 2.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-30 00:33:46.637969+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-barrancas-norte-bogota/193571413,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 120.000.000 | $ 590.000 | $ 550.000.000 | $ 1.900.000 | $ 330.000.000 | $ 1.050.000 | $ 2.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-30 00:33:46.679032+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193409625,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 120.000.000 | $ 590.000 | $ 550.000.000 | $ 1.900.000 | $ 330.000.000 | $ 1.050.000 | $ 2.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-30 00:33:46.826107+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-patricio-bogota/191269207,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 120.000.000 | $ 590.000 | $ 550.000.000 | $ 1.900.000 | $ 330.000.000 | $ 1.050.000 | $ 2.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-30 00:33:46.832762+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-tintala-bogota/193634662,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 120.000.000 | $ 590.000 | $ 550.000.000 | $ 1.900.000 | $ 330.000.000 | $ 1.050.000 | $ 2.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-30 00:33:47.024595+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-renania-urapanes-bogota/193631573,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 120.000.000 | $ 590.000 | $ 550.000.000 | $ 1.900.000 | $ 330.000.000 | $ 1.050.000 | $ 2.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-30 00:33:47.598093+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-portales-del-norte-bogota/193690697,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 120.000.000 | $ 590.000 | $ 550.000.000 | $ 1.900.000 | $ 330.000.000 | $ 1.050.000 | $ 2.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-30 00:33:47.656775+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-la-veracruz-bogota/192803397,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 120.000.000 | $ 590.000 | $ 550.000.000 | $ 1.900.000 | $ 330.000.000 | $ 1.050.000 | $ 2.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-30 00:33:47.723133+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-la-candelaria-bogota/192819895,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 120.000.000 | $ 590.000 | $ 550.000.000 | $ 1.900.000 | $ 330.000.000 | $ 1.050.000 | $ 2.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-30 00:33:47.847367+00:00
