url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-niza-bogota/193947250,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.650.000 | $ 1.800.000 | $ 1.800.000 | $ 9.500.000 | $ 320.000.000 | $ 595.000.000 | $ 2.036.300 | $ 6.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-29 18:20:51.448201+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-alcala-bogota/193862778,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.650.000 | $ 1.800.000 | $ 1.800.000 | $ 9.500.000 | $ 320.000.000 | $ 595.000.000 | $ 2.036.300 | $ 6.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-29 18:20:51.461944+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-santa-paula-bogota/193282905,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.650.000 | $ 1.800.000 | $ 1.800.000 | $ 9.500.000 | $ 320.000.000 | $ 595.000.000 | $ 2.036.300 | $ 6.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-29 18:20:51.480803+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/193721564,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.650.000 | $ 1.800.000 | $ 1.800.000 | $ 9.500.000 | $ 320.000.000 | $ 595.000.000 | $ 2.036.300 | $ 6.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-29 18:20:51.689272+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-barrios-unidos-bogota/193998943,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.650.000 | $ 1.800.000 | $ 1.800.000 | $ 9.500.000 | $ 320.000.000 | $ 595.000.000 | $ 2.036.300 | $ 6.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-29 18:20:52.266494+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/193384446,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.650.000 | $ 1.800.000 | $ 1.800.000 | $ 9.500.000 | $ 320.000.000 | $ 595.000.000 | $ 2.036.300 | $ 6.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-29 18:20:52.274068+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-centro-internacional-bogota/194021288,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.650.000 | $ 1.800.000 | $ 1.800.000 | $ 9.500.000 | $ 320.000.000 | $ 595.000.000 | $ 2.036.300 | $ 6.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-29 18:20:52.308714+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-barrios-unidos-bogota/193656137,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.650.000 | $ 1.800.000 | $ 1.800.000 | $ 9.500.000 | $ 320.000.000 | $ 595.000.000 | $ 2.036.300 | $ 6.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-29 18:20:52.327350+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-andes-norte-bogota/193831167,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.650.000 | $ 1.800.000 | $ 1.800.000 | $ 9.500.000 | $ 320.000.000 | $ 595.000.000 | $ 2.036.300 | $ 6.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-29 18:20:52.384158+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-zona-franca-bogota/193726444,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.650.000 | $ 1.800.000 | $ 1.800.000 | $ 9.500.000 | $ 320.000.000 | $ 595.000.000 | $ 2.036.300 | $ 6.100.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-29 18:20:52.538970+00:00
