url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-olaya-bogota/10510376,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 3.050.000.000 | $ 950.000 | $ 400.000.000 | $ 620.000.000 | $ 490.000.000 | $ 1.450.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 06:27:02.717170+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-nieves-bogota/193112027,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 3.050.000.000 | $ 950.000 | $ 400.000.000 | $ 620.000.000 | $ 490.000.000 | $ 1.450.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 06:27:02.746986+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-redil-bogota/193267147,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 3.050.000.000 | $ 950.000 | $ 400.000.000 | $ 620.000.000 | $ 490.000.000 | $ 1.450.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 06:27:02.754039+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-americas-central-bogota/193478079,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 3.050.000.000 | $ 950.000 | $ 400.000.000 | $ 620.000.000 | $ 490.000.000 | $ 1.450.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 06:27:02.790486+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-cantalejo-bogota/193396471,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 3.050.000.000 | $ 950.000 | $ 400.000.000 | $ 620.000.000 | $ 490.000.000 | $ 1.450.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 06:27:02.797520+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192588248,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 3.050.000.000 | $ 950.000 | $ 400.000.000 | $ 620.000.000 | $ 490.000.000 | $ 1.450.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 06:27:02.932034+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-sotileza-bogota/192785814,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 3.050.000.000 | $ 950.000 | $ 400.000.000 | $ 620.000.000 | $ 490.000.000 | $ 1.450.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 06:27:02.995839+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/193502647,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 3.050.000.000 | $ 950.000 | $ 400.000.000 | $ 620.000.000 | $ 490.000.000 | $ 1.450.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 06:27:03.032125+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/193470079,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 3.050.000.000 | $ 950.000 | $ 400.000.000 | $ 620.000.000 | $ 490.000.000 | $ 1.450.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 06:27:03.750419+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 3.050.000.000 | $ 950.000 | $ 400.000.000 | $ 620.000.000 | $ 490.000.000 | $ 1.450.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 06:27:03.871387+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-bogota/193470251,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 3.050.000.000 | $ 950.000 | $ 400.000.000 | $ 620.000.000 | $ 490.000.000 | $ 1.450.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 06:27:03.880279+00:00
