url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193673175,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000.000 | $ 380.000.000 | $ 1.850.000 | $ 1.350.000 | $ 860.000.000 | $ 3.000.000 | $ 2.200.000 | $ 1.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-30 18:23:37.816644+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193482149,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000.000 | $ 380.000.000 | $ 1.850.000 | $ 1.350.000 | $ 860.000.000 | $ 3.000.000 | $ 2.200.000 | $ 1.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-30 18:23:37.832317+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chico-norte-bogota/193390131,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000.000 | $ 380.000.000 | $ 1.850.000 | $ 1.350.000 | $ 860.000.000 | $ 3.000.000 | $ 2.200.000 | $ 1.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-30 18:23:37.863859+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-centro-internacional-bogota/193622088,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000.000 | $ 380.000.000 | $ 1.850.000 | $ 1.350.000 | $ 860.000.000 | $ 3.000.000 | $ 2.200.000 | $ 1.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-30 18:23:38.048720+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-teusaquillo-bogota/193148336,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000.000 | $ 380.000.000 | $ 1.850.000 | $ 1.350.000 | $ 860.000.000 | $ 3.000.000 | $ 2.200.000 | $ 1.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-30 18:23:38.197759+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-gratamira-bogota/193644771,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000.000 | $ 380.000.000 | $ 1.850.000 | $ 1.350.000 | $ 860.000.000 | $ 3.000.000 | $ 2.200.000 | $ 1.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-30 18:23:38.204963+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bosa-san-bernardino-bogota/193735148,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000.000 | $ 380.000.000 | $ 1.850.000 | $ 1.350.000 | $ 860.000.000 | $ 3.000.000 | $ 2.200.000 | $ 1.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-30 18:23:38.334496+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-la-candelaria-bogota/193716943,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000.000 | $ 380.000.000 | $ 1.850.000 | $ 1.350.000 | $ 860.000.000 | $ 3.000.000 | $ 2.200.000 | $ 1.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-30 18:23:38.344844+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-cedros-bogota/193800058,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000.000 | $ 380.000.000 | $ 1.850.000 | $ 1.350.000 | $ 860.000.000 | $ 3.000.000 | $ 2.200.000 | $ 1.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-30 18:23:38.351720+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-lagos-de-torca-bogota/193481965,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000.000 | $ 380.000.000 | $ 1.850.000 | $ 1.350.000 | $ 860.000.000 | $ 3.000.000 | $ 2.200.000 | $ 1.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-30 18:23:38.573553+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-centro-internacional-bogota/193462547,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000.000 | $ 380.000.000 | $ 1.850.000 | $ 1.350.000 | $ 860.000.000 | $ 3.000.000 | $ 2.200.000 | $ 1.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-30 18:23:38.617519+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chico-norte-bogota/193674574,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000.000 | $ 380.000.000 | $ 1.850.000 | $ 1.350.000 | $ 860.000.000 | $ 3.000.000 | $ 2.200.000 | $ 1.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-30 18:23:38.789446+00:00
