url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193706766,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:36.300552+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-centro-internacional-bogota/193462547,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:36.313917+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-recodo-del-country-bogota/192058144,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:36.321058+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:36.414764+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-alhambra-bogota/192253651,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:37.138206+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193566489,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:37.147295+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193664709,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:37.171185+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-chico-norte-bogota/193595317,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:37.194102+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-barrios-unidos-bogota/193656137,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:37.407082+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-sotileza-bogota/193568828,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:37.468053+00:00
