url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-virrey-bogota/193575284,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 1.500.000 | $ 1.135.000.000 | $ 6.000.000 | $ 300.000.000 | $ 212.000.000 | $ 1.300.000.000 | $ 480.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-05 18:30:47.233781+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193566489,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 1.500.000 | $ 1.135.000.000 | $ 6.000.000 | $ 300.000.000 | $ 212.000.000 | $ 1.300.000.000 | $ 480.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-05 18:30:47.468990+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-paloquemao-bogota/193670805,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 1.500.000 | $ 1.135.000.000 | $ 6.000.000 | $ 300.000.000 | $ 212.000.000 | $ 1.300.000.000 | $ 480.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-05 18:30:47.480615+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/191878773,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 1.500.000 | $ 1.135.000.000 | $ 6.000.000 | $ 300.000.000 | $ 212.000.000 | $ 1.300.000.000 | $ 480.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-05 18:30:47.515030+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193706766,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 1.500.000 | $ 1.135.000.000 | $ 6.000.000 | $ 300.000.000 | $ 212.000.000 | $ 1.300.000.000 | $ 480.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-05 18:30:47.542183+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-barrios-unidos-bogota/193486843,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 1.500.000 | $ 1.135.000.000 | $ 6.000.000 | $ 300.000.000 | $ 212.000.000 | $ 1.300.000.000 | $ 480.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-05 18:30:47.550710+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193691560,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 1.500.000 | $ 1.135.000.000 | $ 6.000.000 | $ 300.000.000 | $ 212.000.000 | $ 1.300.000.000 | $ 480.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-05 18:30:47.589200+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-ana-bogota/193683957,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 1.500.000 | $ 1.135.000.000 | $ 6.000.000 | $ 300.000.000 | $ 212.000.000 | $ 1.300.000.000 | $ 480.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-05 18:30:47.662303+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-teusaquillo-bogota/192843163,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 1.500.000 | $ 1.135.000.000 | $ 6.000.000 | $ 300.000.000 | $ 212.000.000 | $ 1.300.000.000 | $ 480.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-05 18:30:48.449039+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/193638884,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 1.500.000 | $ 1.135.000.000 | $ 6.000.000 | $ 300.000.000 | $ 212.000.000 | $ 1.300.000.000 | $ 480.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-05 18:30:48.591115+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.800.000 | $ 1.500.000 | $ 1.135.000.000 | $ 6.000.000 | $ 300.000.000 | $ 212.000.000 | $ 1.300.000.000 | $ 480.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-05 18:30:48.622181+00:00
