url,information,date_time
https://www.fincaraiz.com.co//casa-en-arriendo-en-los-pantanos-bogota/193592439,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.320.000 | $ 290.000.000 | $ 1.950.000 | $ 1.400.000 | $ 1.800.000 | $ 1.550.000 | $ 500.000.000 | $ 1.388.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 12:36:02.071662+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193588507,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.320.000 | $ 290.000.000 | $ 1.950.000 | $ 1.400.000 | $ 1.800.000 | $ 1.550.000 | $ 500.000.000 | $ 1.388.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 12:36:02.193103+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-santa-ana-oriental-bogota/193555567,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.320.000 | $ 290.000.000 | $ 1.950.000 | $ 1.400.000 | $ 1.800.000 | $ 1.550.000 | $ 500.000.000 | $ 1.388.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 12:36:02.304497+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-las-ferias-bogota/193424704,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.320.000 | $ 290.000.000 | $ 1.950.000 | $ 1.400.000 | $ 1.800.000 | $ 1.550.000 | $ 500.000.000 | $ 1.388.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 12:36:02.727358+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-barrancas-norte-bogota/193492401,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.320.000 | $ 290.000.000 | $ 1.950.000 | $ 1.400.000 | $ 1.800.000 | $ 1.550.000 | $ 500.000.000 | $ 1.388.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 12:36:02.972453+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-bogota/192550868,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.320.000 | $ 290.000.000 | $ 1.950.000 | $ 1.400.000 | $ 1.800.000 | $ 1.550.000 | $ 500.000.000 | $ 1.388.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 12:36:03.002880+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-olaya-bogota/10510376,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.320.000 | $ 290.000.000 | $ 1.950.000 | $ 1.400.000 | $ 1.800.000 | $ 1.550.000 | $ 500.000.000 | $ 1.388.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 12:36:03.069085+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/192750095,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.320.000 | $ 290.000.000 | $ 1.950.000 | $ 1.400.000 | $ 1.800.000 | $ 1.550.000 | $ 500.000.000 | $ 1.388.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 12:36:03.081512+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-alhambra-bogota/192253651,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.320.000 | $ 290.000.000 | $ 1.950.000 | $ 1.400.000 | $ 1.800.000 | $ 1.550.000 | $ 500.000.000 | $ 1.388.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 12:36:03.161670+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/193662340,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.320.000 | $ 290.000.000 | $ 1.950.000 | $ 1.400.000 | $ 1.800.000 | $ 1.550.000 | $ 500.000.000 | $ 1.388.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 12:36:03.171645+00:00
