url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193868364,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 780.000.000 | $ 3.100.000 | $ 280.000.000 | $ 290.000.000 | $ 360.000.000 | $ 510.000.000 | $ 519.900.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-25 06:46:42.217032+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-teusaquillo-bogota/193862427,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 780.000.000 | $ 3.100.000 | $ 280.000.000 | $ 290.000.000 | $ 360.000.000 | $ 510.000.000 | $ 519.900.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-25 06:46:42.308850+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191801473,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 780.000.000 | $ 3.100.000 | $ 280.000.000 | $ 290.000.000 | $ 360.000.000 | $ 510.000.000 | $ 519.900.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-25 06:46:42.340020+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-ana-bogota/193683957,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 780.000.000 | $ 3.100.000 | $ 280.000.000 | $ 290.000.000 | $ 360.000.000 | $ 510.000.000 | $ 519.900.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-25 06:46:42.349822+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-bosque-de-maria-bogota/193870890,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 780.000.000 | $ 3.100.000 | $ 280.000.000 | $ 290.000.000 | $ 360.000.000 | $ 510.000.000 | $ 519.900.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-25 06:46:43.092658+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/193899371,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 780.000.000 | $ 3.100.000 | $ 280.000.000 | $ 290.000.000 | $ 360.000.000 | $ 510.000.000 | $ 519.900.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-25 06:46:43.284978+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-lisboa-usaquen-bogota/193950077,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 780.000.000 | $ 3.100.000 | $ 280.000.000 | $ 290.000.000 | $ 360.000.000 | $ 510.000.000 | $ 519.900.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-25 06:46:43.297869+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-la-igualdad-bogota/193773245,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 780.000.000 | $ 3.100.000 | $ 280.000.000 | $ 290.000.000 | $ 360.000.000 | $ 510.000.000 | $ 519.900.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-25 06:46:43.384741+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193443091,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 780.000.000 | $ 3.100.000 | $ 280.000.000 | $ 290.000.000 | $ 360.000.000 | $ 510.000.000 | $ 519.900.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-25 06:46:43.395909+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-puente-aranda-bogota/193948686,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 780.000.000 | $ 3.100.000 | $ 280.000.000 | $ 290.000.000 | $ 360.000.000 | $ 510.000.000 | $ 519.900.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-25 06:46:43.409565+00:00
