url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-barrios-unidos-bogota/193486843,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.000.000 | $ 415.000.000 | $ 1.650.000 | $ 4.000.000 | $ 650.000.000 | $ 530.000.000 | $ 850.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-04 12:10:21.172912+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-sucre-bogota/192750211,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.000.000 | $ 415.000.000 | $ 1.650.000 | $ 4.000.000 | $ 650.000.000 | $ 530.000.000 | $ 850.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-04 12:10:21.246002+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-venecia-bogota/193449006,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.000.000 | $ 415.000.000 | $ 1.650.000 | $ 4.000.000 | $ 650.000.000 | $ 530.000.000 | $ 850.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-04 12:10:21.393996+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-navarra-bogota/193486845,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.000.000 | $ 415.000.000 | $ 1.650.000 | $ 4.000.000 | $ 650.000.000 | $ 530.000.000 | $ 850.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-04 12:10:21.475189+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10924799,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.000.000 | $ 415.000.000 | $ 1.650.000 | $ 4.000.000 | $ 650.000.000 | $ 530.000.000 | $ 850.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-04 12:10:21.504901+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-batan-bogota/193481563,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.000.000 | $ 415.000.000 | $ 1.650.000 | $ 4.000.000 | $ 650.000.000 | $ 530.000.000 | $ 850.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-04 12:10:21.532264+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-maranta-iii-sector-bogota/193373064,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.000.000 | $ 415.000.000 | $ 1.650.000 | $ 4.000.000 | $ 650.000.000 | $ 530.000.000 | $ 850.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-04 12:10:21.539116+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-redil-bogota/193267147,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.000.000 | $ 415.000.000 | $ 1.650.000 | $ 4.000.000 | $ 650.000.000 | $ 530.000.000 | $ 850.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-04 12:10:21.545992+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193406957,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.000.000 | $ 415.000.000 | $ 1.650.000 | $ 4.000.000 | $ 650.000.000 | $ 530.000.000 | $ 850.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-04 12:10:22.028459+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-paloquemao-bogota/193299543,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.000.000 | $ 415.000.000 | $ 1.650.000 | $ 4.000.000 | $ 650.000.000 | $ 530.000.000 | $ 850.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-04 12:10:22.058149+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-virrey-bogota/193281300,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.000.000 | $ 415.000.000 | $ 1.650.000 | $ 4.000.000 | $ 650.000.000 | $ 530.000.000 | $ 850.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-04 12:10:22.064547+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193420807,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.000.000 | $ 415.000.000 | $ 1.650.000 | $ 4.000.000 | $ 650.000.000 | $ 530.000.000 | $ 850.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-04 12:10:22.089187+00:00
