url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-montevideo-bogota/193457805,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.235.000.000 | $ 590.000.000 | $ 335.000.000 | $ 1.200.000 | $ 175.000.000 | $ 880.000.000 | $ 185.000.000 | $ 500.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-19 00:51:19.334376+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-usaquen-bogota/193667012,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.235.000.000 | $ 590.000.000 | $ 335.000.000 | $ 1.200.000 | $ 175.000.000 | $ 880.000.000 | $ 185.000.000 | $ 500.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-19 00:51:19.452095+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/192750152,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.235.000.000 | $ 590.000.000 | $ 335.000.000 | $ 1.200.000 | $ 175.000.000 | $ 880.000.000 | $ 185.000.000 | $ 500.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-19 00:51:19.521508+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-calleja-bogota/193873142,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.235.000.000 | $ 590.000.000 | $ 335.000.000 | $ 1.200.000 | $ 175.000.000 | $ 880.000.000 | $ 185.000.000 | $ 500.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-19 00:51:19.601959+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-belalcazar-bogota/5619173,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.235.000.000 | $ 590.000.000 | $ 335.000.000 | $ 1.200.000 | $ 175.000.000 | $ 880.000.000 | $ 185.000.000 | $ 500.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-19 00:51:20.152749+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193413670,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.235.000.000 | $ 590.000.000 | $ 335.000.000 | $ 1.200.000 | $ 175.000.000 | $ 880.000.000 | $ 185.000.000 | $ 500.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-19 00:51:20.193580+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-alcazares-norte-bogota/191248514,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.235.000.000 | $ 590.000.000 | $ 335.000.000 | $ 1.200.000 | $ 175.000.000 | $ 880.000.000 | $ 185.000.000 | $ 500.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-19 00:51:20.199942+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-niza-bogota/193277613,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.235.000.000 | $ 590.000.000 | $ 335.000.000 | $ 1.200.000 | $ 175.000.000 | $ 880.000.000 | $ 185.000.000 | $ 500.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-19 00:51:20.207571+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-prado-veraniego-bogota/193846645,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.235.000.000 | $ 590.000.000 | $ 335.000.000 | $ 1.200.000 | $ 175.000.000 | $ 880.000.000 | $ 185.000.000 | $ 500.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-19 00:51:20.215522+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193736848,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.235.000.000 | $ 590.000.000 | $ 335.000.000 | $ 1.200.000 | $ 175.000.000 | $ 880.000.000 | $ 185.000.000 | $ 500.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-19 00:51:20.323259+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-la-candelaria-bogota/192750094,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.235.000.000 | $ 590.000.000 | $ 335.000.000 | $ 1.200.000 | $ 175.000.000 | $ 880.000.000 | $ 185.000.000 | $ 500.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-19 00:51:20.355091+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193632149,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.235.000.000 | $ 590.000.000 | $ 335.000.000 | $ 1.200.000 | $ 175.000.000 | $ 880.000.000 | $ 185.000.000 | $ 500.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-19 00:51:20.366748+00:00
