url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-puente-aranda-bogota/193519752,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.900.000 | $ 680.000.000 | $ 170.000.000 | $ 1.350.000.000 | $ 750.000.000 | $ 7.200.000 | $ 2.500.000.000 | $ 6.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-08 00:25:15.525820+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-bogota/193486847,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.900.000 | $ 680.000.000 | $ 170.000.000 | $ 1.350.000.000 | $ 750.000.000 | $ 7.200.000 | $ 2.500.000.000 | $ 6.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-08 00:25:15.547683+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-ortezal-bogota/193593532,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.900.000 | $ 680.000.000 | $ 170.000.000 | $ 1.350.000.000 | $ 750.000.000 | $ 7.200.000 | $ 2.500.000.000 | $ 6.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-08 00:25:15.748427+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193449954,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.900.000 | $ 680.000.000 | $ 170.000.000 | $ 1.350.000.000 | $ 750.000.000 | $ 7.200.000 | $ 2.500.000.000 | $ 6.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-08 00:25:15.762648+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-morato-bogota/193190693,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.900.000 | $ 680.000.000 | $ 170.000.000 | $ 1.350.000.000 | $ 750.000.000 | $ 7.200.000 | $ 2.500.000.000 | $ 6.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-08 00:25:15.769132+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193097402,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.900.000 | $ 680.000.000 | $ 170.000.000 | $ 1.350.000.000 | $ 750.000.000 | $ 7.200.000 | $ 2.500.000.000 | $ 6.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-08 00:25:15.787873+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/193542241,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.900.000 | $ 680.000.000 | $ 170.000.000 | $ 1.350.000.000 | $ 750.000.000 | $ 7.200.000 | $ 2.500.000.000 | $ 6.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-08 00:25:15.837597+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-fontibon-bogota/193150679,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.900.000 | $ 680.000.000 | $ 170.000.000 | $ 1.350.000.000 | $ 750.000.000 | $ 7.200.000 | $ 2.500.000.000 | $ 6.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-08 00:25:15.844060+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-nieves-bogota/193112027,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.900.000 | $ 680.000.000 | $ 170.000.000 | $ 1.350.000.000 | $ 750.000.000 | $ 7.200.000 | $ 2.500.000.000 | $ 6.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-08 00:25:16.513758+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-capri-bogota/193510979,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.900.000 | $ 680.000.000 | $ 170.000.000 | $ 1.350.000.000 | $ 750.000.000 | $ 7.200.000 | $ 2.500.000.000 | $ 6.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-08 00:25:16.551338+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-morato-bogota/191732929,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.900.000 | $ 680.000.000 | $ 170.000.000 | $ 1.350.000.000 | $ 750.000.000 | $ 7.200.000 | $ 2.500.000.000 | $ 6.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-08 00:25:16.575980+00:00
