url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-quinta-camacho-bogota/192114307,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 595.000.000 | $ 4.800.000 | $ 750.000.000 | $ 1.700.000 | $ 355.000.000 | $ 6.000.000 | $ 1.400.000 | $ 1.850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 06:26:06.567374+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 595.000.000 | $ 4.800.000 | $ 750.000.000 | $ 1.700.000 | $ 355.000.000 | $ 6.000.000 | $ 1.400.000 | $ 1.850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 06:26:06.601974+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bosque-de-pinos-bogota/192750243,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 595.000.000 | $ 4.800.000 | $ 750.000.000 | $ 1.700.000 | $ 355.000.000 | $ 6.000.000 | $ 1.400.000 | $ 1.850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 06:26:06.611914+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193460052,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 595.000.000 | $ 4.800.000 | $ 750.000.000 | $ 1.700.000 | $ 355.000.000 | $ 6.000.000 | $ 1.400.000 | $ 1.850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 06:26:06.788975+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-usatama-bogota/193380265,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 595.000.000 | $ 4.800.000 | $ 750.000.000 | $ 1.700.000 | $ 355.000.000 | $ 6.000.000 | $ 1.400.000 | $ 1.850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 06:26:06.801433+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-paredes-bogota/193291243,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 595.000.000 | $ 4.800.000 | $ 750.000.000 | $ 1.700.000 | $ 355.000.000 | $ 6.000.000 | $ 1.400.000 | $ 1.850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 06:26:06.815528+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 595.000.000 | $ 4.800.000 | $ 750.000.000 | $ 1.700.000 | $ 355.000.000 | $ 6.000.000 | $ 1.400.000 | $ 1.850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 06:26:06.899658+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-sotileza-bogota/192785814,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 595.000.000 | $ 4.800.000 | $ 750.000.000 | $ 1.700.000 | $ 355.000.000 | $ 6.000.000 | $ 1.400.000 | $ 1.850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 06:26:06.925583+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-bogota/193470251,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 595.000.000 | $ 4.800.000 | $ 750.000.000 | $ 1.700.000 | $ 355.000.000 | $ 6.000.000 | $ 1.400.000 | $ 1.850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 06:26:07.487905+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193414627,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 595.000.000 | $ 4.800.000 | $ 750.000.000 | $ 1.700.000 | $ 355.000.000 | $ 6.000.000 | $ 1.400.000 | $ 1.850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 06:26:07.497404+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-pinar-de-suba-bogota/193463557,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 595.000.000 | $ 4.800.000 | $ 750.000.000 | $ 1.700.000 | $ 355.000.000 | $ 6.000.000 | $ 1.400.000 | $ 1.850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 06:26:07.503466+00:00
