url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193576476,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 520.000.000 | $ 225.000.000 | $ 1.550.000 | $ 977.000 | $ 1.100.000 | $ 380.000.000 | $ 3.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 12:37:06.832183+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193413670,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 520.000.000 | $ 225.000.000 | $ 1.550.000 | $ 977.000 | $ 1.100.000 | $ 380.000.000 | $ 3.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 12:37:07.013381+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-santa-isabel-bogota/193692182,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 520.000.000 | $ 225.000.000 | $ 1.550.000 | $ 977.000 | $ 1.100.000 | $ 380.000.000 | $ 3.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 12:37:07.125379+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-navarra-bogota/193486845,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 520.000.000 | $ 225.000.000 | $ 1.550.000 | $ 977.000 | $ 1.100.000 | $ 380.000.000 | $ 3.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 12:37:07.131640+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-las-ferias-bogota/193544292,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 520.000.000 | $ 225.000.000 | $ 1.550.000 | $ 977.000 | $ 1.100.000 | $ 380.000.000 | $ 3.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 12:37:07.250130+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-la-macarena-bogota/192657270,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 520.000.000 | $ 225.000.000 | $ 1.550.000 | $ 977.000 | $ 1.100.000 | $ 380.000.000 | $ 3.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 12:37:07.283700+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/193708948,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 520.000.000 | $ 225.000.000 | $ 1.550.000 | $ 977.000 | $ 1.100.000 | $ 380.000.000 | $ 3.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 12:37:07.328551+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-bogota/193655701,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 520.000.000 | $ 225.000.000 | $ 1.550.000 | $ 977.000 | $ 1.100.000 | $ 380.000.000 | $ 3.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 12:37:07.479883+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chico-norte-bogota/193674574,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 520.000.000 | $ 225.000.000 | $ 1.550.000 | $ 977.000 | $ 1.100.000 | $ 380.000.000 | $ 3.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 12:37:07.794367+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-centro-internacional-bogota/193462547,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 520.000.000 | $ 225.000.000 | $ 1.550.000 | $ 977.000 | $ 1.100.000 | $ 380.000.000 | $ 3.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 12:37:07.800954+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 520.000.000 | $ 225.000.000 | $ 1.550.000 | $ 977.000 | $ 1.100.000 | $ 380.000.000 | $ 3.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 12:37:07.889682+00:00
