url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bosque-de-pinos-bogota/10769713,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.670.000.000 | $ 3.500.000.000 | $ 380.000.000 | $ 140.000.000 | $ 570.000.000 | $ 850.000 | $ 1.250.000 | $ 830.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 12:10:47.192087+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/191878773,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.670.000.000 | $ 3.500.000.000 | $ 380.000.000 | $ 140.000.000 | $ 570.000.000 | $ 850.000 | $ 1.250.000 | $ 830.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 12:10:47.312181+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-bogota/193470251,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.670.000.000 | $ 3.500.000.000 | $ 380.000.000 | $ 140.000.000 | $ 570.000.000 | $ 850.000 | $ 1.250.000 | $ 830.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 12:10:47.321763+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193593700,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.670.000.000 | $ 3.500.000.000 | $ 380.000.000 | $ 140.000.000 | $ 570.000.000 | $ 850.000 | $ 1.250.000 | $ 830.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 12:10:47.432853+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-los-monjes-bogota/193452880,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.670.000.000 | $ 3.500.000.000 | $ 380.000.000 | $ 140.000.000 | $ 570.000.000 | $ 850.000 | $ 1.250.000 | $ 830.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 12:10:47.917372+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-cedritos-bogota/193462191,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.670.000.000 | $ 3.500.000.000 | $ 380.000.000 | $ 140.000.000 | $ 570.000.000 | $ 850.000 | $ 1.250.000 | $ 830.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 12:10:47.936531+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-galerias-bogota/193256970,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.670.000.000 | $ 3.500.000.000 | $ 380.000.000 | $ 140.000.000 | $ 570.000.000 | $ 850.000 | $ 1.250.000 | $ 830.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 12:10:47.946021+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/10792307,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.670.000.000 | $ 3.500.000.000 | $ 380.000.000 | $ 140.000.000 | $ 570.000.000 | $ 850.000 | $ 1.250.000 | $ 830.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 12:10:47.952185+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-lucia-bogota/193533609,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.670.000.000 | $ 3.500.000.000 | $ 380.000.000 | $ 140.000.000 | $ 570.000.000 | $ 850.000 | $ 1.250.000 | $ 830.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 12:10:47.993005+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193468821,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.670.000.000 | $ 3.500.000.000 | $ 380.000.000 | $ 140.000.000 | $ 570.000.000 | $ 850.000 | $ 1.250.000 | $ 830.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 12:10:48.017731+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chico-norte-bogota/193485149,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.670.000.000 | $ 3.500.000.000 | $ 380.000.000 | $ 140.000.000 | $ 570.000.000 | $ 850.000 | $ 1.250.000 | $ 830.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 12:10:48.104455+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193428692,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.670.000.000 | $ 3.500.000.000 | $ 380.000.000 | $ 140.000.000 | $ 570.000.000 | $ 850.000 | $ 1.250.000 | $ 830.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 12:10:48.214493+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/193347003,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.670.000.000 | $ 3.500.000.000 | $ 380.000.000 | $ 140.000.000 | $ 570.000.000 | $ 850.000 | $ 1.250.000 | $ 830.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 12:10:48.803162+00:00
