url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193580649,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 650.000.000 | $ 2.600.000.000 | $ 890.000.000 | $ 261.000.000 | $ 460.000.000 | $ 380.000.000 | $ 1.350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 18:59:45.143664+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-lagos-de-torca-bogota/193481965,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 650.000.000 | $ 2.600.000.000 | $ 890.000.000 | $ 261.000.000 | $ 460.000.000 | $ 380.000.000 | $ 1.350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 18:59:45.214768+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-suba-bogota/193866086,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 650.000.000 | $ 2.600.000.000 | $ 890.000.000 | $ 261.000.000 | $ 460.000.000 | $ 380.000.000 | $ 1.350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 18:59:45.300069+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-olaya-bogota/10510376,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 650.000.000 | $ 2.600.000.000 | $ 890.000.000 | $ 261.000.000 | $ 460.000.000 | $ 380.000.000 | $ 1.350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 18:59:45.373016+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-batan-bogota/193735084,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 650.000.000 | $ 2.600.000.000 | $ 890.000.000 | $ 261.000.000 | $ 460.000.000 | $ 380.000.000 | $ 1.350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 18:59:45.923201+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-puente-largo-bogota/193760905,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 650.000.000 | $ 2.600.000.000 | $ 890.000.000 | $ 261.000.000 | $ 460.000.000 | $ 380.000.000 | $ 1.350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 18:59:46.002968+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-puente-largo-bogota/193760905,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 650.000.000 | $ 2.600.000.000 | $ 890.000.000 | $ 261.000.000 | $ 460.000.000 | $ 380.000.000 | $ 1.350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 18:59:46.010517+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-alcazares-norte-bogota/191248514,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 650.000.000 | $ 2.600.000.000 | $ 890.000.000 | $ 261.000.000 | $ 460.000.000 | $ 380.000.000 | $ 1.350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 18:59:46.034424+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10308129,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 650.000.000 | $ 2.600.000.000 | $ 890.000.000 | $ 261.000.000 | $ 460.000.000 | $ 380.000.000 | $ 1.350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 18:59:46.176261+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193632149,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 650.000.000 | $ 2.600.000.000 | $ 890.000.000 | $ 261.000.000 | $ 460.000.000 | $ 380.000.000 | $ 1.350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 18:59:46.248347+00:00
