url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-la-castellana-bogota/193377678,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 840.000.000 | $ 850.000.000 | $ 2.480.000 | $ 32.217.000 | $ 300.000.000 | $ 900.000.000 | $ 2.200.000 | $ 12.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-23 18:42:03.415400+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193699189,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 840.000.000 | $ 850.000.000 | $ 2.480.000 | $ 32.217.000 | $ 300.000.000 | $ 900.000.000 | $ 2.200.000 | $ 12.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-23 18:42:03.422630+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-cedritos-bogota/193544349,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 840.000.000 | $ 850.000.000 | $ 2.480.000 | $ 32.217.000 | $ 300.000.000 | $ 900.000.000 | $ 2.200.000 | $ 12.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-23 18:42:03.433152+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/193721564,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 840.000.000 | $ 850.000.000 | $ 2.480.000 | $ 32.217.000 | $ 300.000.000 | $ 900.000.000 | $ 2.200.000 | $ 12.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-23 18:42:03.503301+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-fontibon-bogota/193815880,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 840.000.000 | $ 850.000.000 | $ 2.480.000 | $ 32.217.000 | $ 300.000.000 | $ 900.000.000 | $ 2.200.000 | $ 12.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-23 18:42:04.195197+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-bogota/193778125,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 840.000.000 | $ 850.000.000 | $ 2.480.000 | $ 32.217.000 | $ 300.000.000 | $ 900.000.000 | $ 2.200.000 | $ 12.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-23 18:42:04.237893+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chico-norte-bogota/193897096,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 840.000.000 | $ 850.000.000 | $ 2.480.000 | $ 32.217.000 | $ 300.000.000 | $ 900.000.000 | $ 2.200.000 | $ 12.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-23 18:42:04.268641+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-santa-barbara-bogota/193446713,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 840.000.000 | $ 850.000.000 | $ 2.480.000 | $ 32.217.000 | $ 300.000.000 | $ 900.000.000 | $ 2.200.000 | $ 12.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-23 18:42:04.275955+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-campi%C3%B1a-bogota/193896529,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 840.000.000 | $ 850.000.000 | $ 2.480.000 | $ 32.217.000 | $ 300.000.000 | $ 900.000.000 | $ 2.200.000 | $ 12.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-23 18:42:04.404839+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-salle-bogota/193834851,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 840.000.000 | $ 850.000.000 | $ 2.480.000 | $ 32.217.000 | $ 300.000.000 | $ 900.000.000 | $ 2.200.000 | $ 12.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-23 18:42:04.437092+00:00
