url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/193347003,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.700.000.000 | $ 300.000.000 | $ 815.000.000 | $ 1.550.000.000 | $ 350.000.000 | $ 680.000.000 | $ 400.000.000 | $ 160.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-22 02:05:57.770219+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193690056,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.700.000.000 | $ 300.000.000 | $ 815.000.000 | $ 1.550.000.000 | $ 350.000.000 | $ 680.000.000 | $ 400.000.000 | $ 160.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-22 02:05:57.777964+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-ciudad-salitre-bogota/193656170,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.700.000.000 | $ 300.000.000 | $ 815.000.000 | $ 1.550.000.000 | $ 350.000.000 | $ 680.000.000 | $ 400.000.000 | $ 160.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-22 02:05:57.785053+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-bogota/193885107,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.700.000.000 | $ 300.000.000 | $ 815.000.000 | $ 1.550.000.000 | $ 350.000.000 | $ 680.000.000 | $ 400.000.000 | $ 160.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-22 02:05:57.798309+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193097402,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.700.000.000 | $ 300.000.000 | $ 815.000.000 | $ 1.550.000.000 | $ 350.000.000 | $ 680.000.000 | $ 400.000.000 | $ 160.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-22 02:05:57.805142+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-morato-bogota/193190693,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.700.000.000 | $ 300.000.000 | $ 815.000.000 | $ 1.550.000.000 | $ 350.000.000 | $ 680.000.000 | $ 400.000.000 | $ 160.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-22 02:05:58.483401+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-santa-paula-bogota/194008553,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.700.000.000 | $ 300.000.000 | $ 815.000.000 | $ 1.550.000.000 | $ 350.000.000 | $ 680.000.000 | $ 400.000.000 | $ 160.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-22 02:05:58.500349+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/192246598,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.700.000.000 | $ 300.000.000 | $ 815.000.000 | $ 1.550.000.000 | $ 350.000.000 | $ 680.000.000 | $ 400.000.000 | $ 160.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-22 02:05:58.562872+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-alcazares-norte-bogota/191248514,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.700.000.000 | $ 300.000.000 | $ 815.000.000 | $ 1.550.000.000 | $ 350.000.000 | $ 680.000.000 | $ 400.000.000 | $ 160.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-22 02:05:58.598397+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-alcazares-norte-bogota/191248514,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.700.000.000 | $ 300.000.000 | $ 815.000.000 | $ 1.550.000.000 | $ 350.000.000 | $ 680.000.000 | $ 400.000.000 | $ 160.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-22 02:05:58.605183+00:00
