url,information,date_time
https://www.fincaraiz.com.co//bodega-en-arriendo-en-barrios-unidos-bogota/193108875,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 265.000.000 | $ 6.900.000 | $ 4.500.000 | $ 2.800.000 | $ 541.800.000 | $ 790.000.000 | $ 1.400.000.000 | $ 650.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-23 18:06:23.280021+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-macarena-bogota/192827261,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 265.000.000 | $ 6.900.000 | $ 4.500.000 | $ 2.800.000 | $ 541.800.000 | $ 790.000.000 | $ 1.400.000.000 | $ 650.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-23 18:06:23.315253+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 265.000.000 | $ 6.900.000 | $ 4.500.000 | $ 2.800.000 | $ 541.800.000 | $ 790.000.000 | $ 1.400.000.000 | $ 650.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-23 18:06:23.442726+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-veraguas-bogota/193120441,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 265.000.000 | $ 6.900.000 | $ 4.500.000 | $ 2.800.000 | $ 541.800.000 | $ 790.000.000 | $ 1.400.000.000 | $ 650.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-23 18:06:23.505184+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-polo-club-bogota/192846817,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 265.000.000 | $ 6.900.000 | $ 4.500.000 | $ 2.800.000 | $ 541.800.000 | $ 790.000.000 | $ 1.400.000.000 | $ 650.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-23 18:06:23.514135+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-multicentro-bogota/192995644,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 265.000.000 | $ 6.900.000 | $ 4.500.000 | $ 2.800.000 | $ 541.800.000 | $ 790.000.000 | $ 1.400.000.000 | $ 650.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-23 18:06:23.529551+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-tierra-buena-bogota/193230441,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 265.000.000 | $ 6.900.000 | $ 4.500.000 | $ 2.800.000 | $ 541.800.000 | $ 790.000.000 | $ 1.400.000.000 | $ 650.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-23 18:06:23.553078+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-carolina-bogota/193226450,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 265.000.000 | $ 6.900.000 | $ 4.500.000 | $ 2.800.000 | $ 541.800.000 | $ 790.000.000 | $ 1.400.000.000 | $ 650.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-23 18:06:23.560328+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-santa-paula-bogota/193290607,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 265.000.000 | $ 6.900.000 | $ 4.500.000 | $ 2.800.000 | $ 541.800.000 | $ 790.000.000 | $ 1.400.000.000 | $ 650.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-23 18:06:24.214197+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-felicidad-bogota/193034426,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 265.000.000 | $ 6.900.000 | $ 4.500.000 | $ 2.800.000 | $ 541.800.000 | $ 790.000.000 | $ 1.400.000.000 | $ 650.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-23 18:06:24.247372+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-zona-norte-bogota/192034819,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 265.000.000 | $ 6.900.000 | $ 4.500.000 | $ 2.800.000 | $ 541.800.000 | $ 790.000.000 | $ 1.400.000.000 | $ 650.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-23 18:06:24.254147+00:00
