url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193615204,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.200.000 | $ 235.000.000 | $ 2.000.000 | $ 1.400.000 | $ 2.000.000 | $ 272.500.000 | $ 2.460.000.000 | $ 235.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-09 18:19:38.785506+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-bogota/193660266,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.200.000 | $ 235.000.000 | $ 2.000.000 | $ 1.400.000 | $ 2.000.000 | $ 272.500.000 | $ 2.460.000.000 | $ 235.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-09 18:19:38.793653+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-santa-ana-oriental-bogota/193555567,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.200.000 | $ 235.000.000 | $ 2.000.000 | $ 1.400.000 | $ 2.000.000 | $ 272.500.000 | $ 2.460.000.000 | $ 235.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-09 18:19:38.801384+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bogota/7598985,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.200.000 | $ 235.000.000 | $ 2.000.000 | $ 1.400.000 | $ 2.000.000 | $ 272.500.000 | $ 2.460.000.000 | $ 235.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-09 18:19:38.822109+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10308129,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.200.000 | $ 235.000.000 | $ 2.000.000 | $ 1.400.000 | $ 2.000.000 | $ 272.500.000 | $ 2.460.000.000 | $ 235.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-09 18:19:39.590461+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-san-fernando-occidental-bogota/193165852,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.200.000 | $ 235.000.000 | $ 2.000.000 | $ 1.400.000 | $ 2.000.000 | $ 272.500.000 | $ 2.460.000.000 | $ 235.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-09 18:19:39.714440+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-puente-aranda-bogota/193506520,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.200.000 | $ 235.000.000 | $ 2.000.000 | $ 1.400.000 | $ 2.000.000 | $ 272.500.000 | $ 2.460.000.000 | $ 235.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-09 18:19:39.830525+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193673313,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.200.000 | $ 235.000.000 | $ 2.000.000 | $ 1.400.000 | $ 2.000.000 | $ 272.500.000 | $ 2.460.000.000 | $ 235.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-09 18:19:39.865700+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-cantalejo-bogota/193700185,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.200.000 | $ 235.000.000 | $ 2.000.000 | $ 1.400.000 | $ 2.000.000 | $ 272.500.000 | $ 2.460.000.000 | $ 235.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-09 18:19:39.897302+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-los-monjes-bogota/193452880,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.200.000 | $ 235.000.000 | $ 2.000.000 | $ 1.400.000 | $ 2.000.000 | $ 272.500.000 | $ 2.460.000.000 | $ 235.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-09 18:19:39.945136+00:00
