url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-villas-de-alcala-bogota/193426007,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 528.200.000 | $ 514.000.000 | $ 1.450.000.000 | $ 2.099.000 | $ 567.300.000 | $ 870.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 07:14:16.088907+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-bogota/193655701,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 528.200.000 | $ 514.000.000 | $ 1.450.000.000 | $ 2.099.000 | $ 567.300.000 | $ 870.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 07:14:16.133996+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/193347003,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 528.200.000 | $ 514.000.000 | $ 1.450.000.000 | $ 2.099.000 | $ 567.300.000 | $ 870.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 07:14:16.259096+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-alfonso-lopez-bogota/193835005,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 528.200.000 | $ 514.000.000 | $ 1.450.000.000 | $ 2.099.000 | $ 567.300.000 | $ 870.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 07:14:16.267702+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-suba-bogota/193852885,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 528.200.000 | $ 514.000.000 | $ 1.450.000.000 | $ 2.099.000 | $ 567.300.000 | $ 870.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 07:14:16.284029+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-villa-alsacia-2-bogota/193364947,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 528.200.000 | $ 514.000.000 | $ 1.450.000.000 | $ 2.099.000 | $ 567.300.000 | $ 870.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 07:14:16.291182+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/193843018,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 528.200.000 | $ 514.000.000 | $ 1.450.000.000 | $ 2.099.000 | $ 567.300.000 | $ 870.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 07:14:16.297424+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193690056,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 528.200.000 | $ 514.000.000 | $ 1.450.000.000 | $ 2.099.000 | $ 567.300.000 | $ 870.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 07:14:16.487184+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193486539,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 528.200.000 | $ 514.000.000 | $ 1.450.000.000 | $ 2.099.000 | $ 567.300.000 | $ 870.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 07:14:17.024775+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-antiguo-country-bogota/193828807,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 528.200.000 | $ 514.000.000 | $ 1.450.000.000 | $ 2.099.000 | $ 567.300.000 | $ 870.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 07:14:17.057261+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-calleja-bogota/193719294,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 528.200.000 | $ 514.000.000 | $ 1.450.000.000 | $ 2.099.000 | $ 567.300.000 | $ 870.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 07:14:17.242507+00:00
