url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-paloquemao-bogota/193088752,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 285.000.000 | $ 15.000.000 | $ 400.000.000 | $ 1.498.000.000 | $ 25.000.000 | $ 620.000.000 | $ 8.500.000 | $ 800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 00:19:29.399824+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-spring-bogota/193238290,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 285.000.000 | $ 15.000.000 | $ 400.000.000 | $ 1.498.000.000 | $ 25.000.000 | $ 620.000.000 | $ 8.500.000 | $ 800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 00:19:29.452805+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193215920,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 285.000.000 | $ 15.000.000 | $ 400.000.000 | $ 1.498.000.000 | $ 25.000.000 | $ 620.000.000 | $ 8.500.000 | $ 800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 00:19:29.516318+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-rionegro-bogota/193115062,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 285.000.000 | $ 15.000.000 | $ 400.000.000 | $ 1.498.000.000 | $ 25.000.000 | $ 620.000.000 | $ 8.500.000 | $ 800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 00:19:29.922210+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-nogal-bogota/193282856,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 285.000.000 | $ 15.000.000 | $ 400.000.000 | $ 1.498.000.000 | $ 25.000.000 | $ 620.000.000 | $ 8.500.000 | $ 800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 00:19:30.098342+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-el-nogal-bogota/192567194,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 285.000.000 | $ 15.000.000 | $ 400.000.000 | $ 1.498.000.000 | $ 25.000.000 | $ 620.000.000 | $ 8.500.000 | $ 800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 00:19:30.107317+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-teusaquillo-bogota/193030542,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 285.000.000 | $ 15.000.000 | $ 400.000.000 | $ 1.498.000.000 | $ 25.000.000 | $ 620.000.000 | $ 8.500.000 | $ 800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 00:19:30.216622+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193043646,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 285.000.000 | $ 15.000.000 | $ 400.000.000 | $ 1.498.000.000 | $ 25.000.000 | $ 620.000.000 | $ 8.500.000 | $ 800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 00:19:30.295604+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-quirigua-oriental-bogota/193001545,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 285.000.000 | $ 15.000.000 | $ 400.000.000 | $ 1.498.000.000 | $ 25.000.000 | $ 620.000.000 | $ 8.500.000 | $ 800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 00:19:30.336627+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-centro-internacional-bogota/193118723,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 285.000.000 | $ 15.000.000 | $ 400.000.000 | $ 1.498.000.000 | $ 25.000.000 | $ 620.000.000 | $ 8.500.000 | $ 800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 00:19:30.392718+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-castilla-bogota/193086938,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 285.000.000 | $ 15.000.000 | $ 400.000.000 | $ 1.498.000.000 | $ 25.000.000 | $ 620.000.000 | $ 8.500.000 | $ 800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 00:19:30.632012+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/193270766,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 285.000.000 | $ 15.000.000 | $ 400.000.000 | $ 1.498.000.000 | $ 25.000.000 | $ 620.000.000 | $ 8.500.000 | $ 800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 00:19:30.655155+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-aguas-bogota/191974102,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 285.000.000 | $ 15.000.000 | $ 400.000.000 | $ 1.498.000.000 | $ 25.000.000 | $ 620.000.000 | $ 8.500.000 | $ 800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 00:19:30.994211+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-felicidad-bogota/192983335,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 285.000.000 | $ 15.000.000 | $ 400.000.000 | $ 1.498.000.000 | $ 25.000.000 | $ 620.000.000 | $ 8.500.000 | $ 800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 00:19:31.003259+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-quinta-paredes-bogota/193284604,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 285.000.000 | $ 15.000.000 | $ 400.000.000 | $ 1.498.000.000 | $ 25.000.000 | $ 620.000.000 | $ 8.500.000 | $ 800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 00:19:31.022669+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/192206859,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 285.000.000 | $ 15.000.000 | $ 400.000.000 | $ 1.498.000.000 | $ 25.000.000 | $ 620.000.000 | $ 8.500.000 | $ 800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 00:19:31.113036+00:00
