url,information,date_time
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-modelia-bogota/193074721,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 363.000.000 | $ 660.000.000 | $ 250.000.000 | $ 1.644.000.000 | $ 320.000.000 | $ 40.340.000 | $ 4.600.000 | $ 225.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-27 00:18:05.232157+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-barrios-unidos-bogota/193108875,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 363.000.000 | $ 660.000.000 | $ 250.000.000 | $ 1.644.000.000 | $ 320.000.000 | $ 40.340.000 | $ 4.600.000 | $ 225.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-27 00:18:05.402269+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/192246598,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 363.000.000 | $ 660.000.000 | $ 250.000.000 | $ 1.644.000.000 | $ 320.000.000 | $ 40.340.000 | $ 4.600.000 | $ 225.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-27 00:18:05.409154+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193323974,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 363.000.000 | $ 660.000.000 | $ 250.000.000 | $ 1.644.000.000 | $ 320.000.000 | $ 40.340.000 | $ 4.600.000 | $ 225.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-27 00:18:05.598323+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-castilla-bogota/193250505,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 363.000.000 | $ 660.000.000 | $ 250.000.000 | $ 1.644.000.000 | $ 320.000.000 | $ 40.340.000 | $ 4.600.000 | $ 225.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-27 00:18:05.606459+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 363.000.000 | $ 660.000.000 | $ 250.000.000 | $ 1.644.000.000 | $ 320.000.000 | $ 40.340.000 | $ 4.600.000 | $ 225.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-27 00:18:05.616469+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-rionegro-bogota/193115062,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 363.000.000 | $ 660.000.000 | $ 250.000.000 | $ 1.644.000.000 | $ 320.000.000 | $ 40.340.000 | $ 4.600.000 | $ 225.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-27 00:18:05.666573+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193163675,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 363.000.000 | $ 660.000.000 | $ 250.000.000 | $ 1.644.000.000 | $ 320.000.000 | $ 40.340.000 | $ 4.600.000 | $ 225.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-27 00:18:05.675787+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-teusaquillo-bogota/192857773,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 363.000.000 | $ 660.000.000 | $ 250.000.000 | $ 1.644.000.000 | $ 320.000.000 | $ 40.340.000 | $ 4.600.000 | $ 225.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-27 00:18:06.166987+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-nieves-bogota/192901073,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 363.000.000 | $ 660.000.000 | $ 250.000.000 | $ 1.644.000.000 | $ 320.000.000 | $ 40.340.000 | $ 4.600.000 | $ 225.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-27 00:18:06.238703+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chico-norte-bogota/192089858,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 363.000.000 | $ 660.000.000 | $ 250.000.000 | $ 1.644.000.000 | $ 320.000.000 | $ 40.340.000 | $ 4.600.000 | $ 225.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-27 00:18:06.360434+00:00
