url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/193470079,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 1.800.000 | $ 1.700.000 | $ 280.000.000 | $ 155.000.000 | $ 4.400.000 | $ 168.000.000 | $ 1.490.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 12:23:11.656116+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-centro-internacional-bogota/193420316,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 1.800.000 | $ 1.700.000 | $ 280.000.000 | $ 155.000.000 | $ 4.400.000 | $ 168.000.000 | $ 1.490.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 12:23:11.704365+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-montevideo-bogota/193592330,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 1.800.000 | $ 1.700.000 | $ 280.000.000 | $ 155.000.000 | $ 4.400.000 | $ 168.000.000 | $ 1.490.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 12:23:11.841138+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-redil-bogota/193267147,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 1.800.000 | $ 1.700.000 | $ 280.000.000 | $ 155.000.000 | $ 4.400.000 | $ 168.000.000 | $ 1.490.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 12:23:11.857417+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-chico-bogota/193363100,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 1.800.000 | $ 1.700.000 | $ 280.000.000 | $ 155.000.000 | $ 4.400.000 | $ 168.000.000 | $ 1.490.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 12:23:11.942417+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193445985,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 1.800.000 | $ 1.700.000 | $ 280.000.000 | $ 155.000.000 | $ 4.400.000 | $ 168.000.000 | $ 1.490.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 12:23:11.965764+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-santa-barbara-bogota/193436237,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 1.800.000 | $ 1.700.000 | $ 280.000.000 | $ 155.000.000 | $ 4.400.000 | $ 168.000.000 | $ 1.490.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 12:23:11.973305+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193488235,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 1.800.000 | $ 1.700.000 | $ 280.000.000 | $ 155.000.000 | $ 4.400.000 | $ 168.000.000 | $ 1.490.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 12:23:12.235977+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191102322,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 1.800.000 | $ 1.700.000 | $ 280.000.000 | $ 155.000.000 | $ 4.400.000 | $ 168.000.000 | $ 1.490.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 12:23:12.630070+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193460027,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 1.800.000 | $ 1.700.000 | $ 280.000.000 | $ 155.000.000 | $ 4.400.000 | $ 168.000.000 | $ 1.490.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 12:23:12.640417+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193409625,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 195.000.000 | $ 1.800.000 | $ 1.700.000 | $ 280.000.000 | $ 155.000.000 | $ 4.400.000 | $ 168.000.000 | $ 1.490.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 12:23:12.650187+00:00
