url,information,date_time
https://www.fincaraiz.com.co//casa-en-arriendo-en-bogota/193759425,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.700.000 | $ 151.000.000 | $ 185.000.000 | $ 2.850.000 | $ 2.000.000 | $ 900.000.000 | $ 10.439.000 | $ 151.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-23 06:55:21.920096+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-la-victoria-bogota/193297384,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.700.000 | $ 151.000.000 | $ 185.000.000 | $ 2.850.000 | $ 2.000.000 | $ 900.000.000 | $ 10.439.000 | $ 151.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-23 06:55:21.930248+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-usaquen-bogota/193667012,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.700.000 | $ 151.000.000 | $ 185.000.000 | $ 2.850.000 | $ 2.000.000 | $ 900.000.000 | $ 10.439.000 | $ 151.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-23 06:55:21.940560+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193772885,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.700.000 | $ 151.000.000 | $ 185.000.000 | $ 2.850.000 | $ 2.000.000 | $ 900.000.000 | $ 10.439.000 | $ 151.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-23 06:55:22.131008+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chico-norte-bogota/192726026,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.700.000 | $ 151.000.000 | $ 185.000.000 | $ 2.850.000 | $ 2.000.000 | $ 900.000.000 | $ 10.439.000 | $ 151.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-23 06:55:22.637021+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193378595,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.700.000 | $ 151.000.000 | $ 185.000.000 | $ 2.850.000 | $ 2.000.000 | $ 900.000.000 | $ 10.439.000 | $ 151.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-23 06:55:22.644554+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-chico-norte-bogota/193595317,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.700.000 | $ 151.000.000 | $ 185.000.000 | $ 2.850.000 | $ 2.000.000 | $ 900.000.000 | $ 10.439.000 | $ 151.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-23 06:55:22.675032+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193645077,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.700.000 | $ 151.000.000 | $ 185.000.000 | $ 2.850.000 | $ 2.000.000 | $ 900.000.000 | $ 10.439.000 | $ 151.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-23 06:55:22.714291+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-patricio-bogota/193598188,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.700.000 | $ 151.000.000 | $ 185.000.000 | $ 2.850.000 | $ 2.000.000 | $ 900.000.000 | $ 10.439.000 | $ 151.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-23 06:55:22.876726+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-barrios-unidos-bogota/193656137,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.700.000 | $ 151.000.000 | $ 185.000.000 | $ 2.850.000 | $ 2.000.000 | $ 900.000.000 | $ 10.439.000 | $ 151.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-23 06:55:22.884221+00:00
